aarónico, ca=cat: A;source: ;
carraleja=cat: F;source: ;
carralero=cat: M;source: ;
carramanchones=cat: LAdv;source: ;
carramarro=cat: M;source: ;
carramplón=cat: M;source: ;
carranclo, cla=cat: MF;source: ;
carranclón, na=cat: A,M;source: ;
carrancudo, da=cat: A;source: ;
carranza=cat: F;source: ;
carrañaca=cat: F;source: ;
carraña=cat: F;source: ;
carrañón, na=cat: A;source: ;
carrañoso, sa=cat: A;source: ;
carrao=cat: M;source: ;
carraón=cat: M;source: ;
carraplana=cat: F;source: ;
carraquear=cat: VI;source: ;
carrascal=cat: M;source: ;
carrasco=cat: M;source: ;
carrascoso, sa=cat: A;source: ;
carraspada=cat: F;source: ;
carraspear=cat: VI;source: ;
carraspeño, ña=cat: A;source: ;
carraspeo=cat: M;source: ;
carraspera=cat: F;source: ;
carraspiento, ta=cat: A;source: ;
carraspina=cat: F;source: ;
carraspique=cat: M;source: ;
carrasposo, sa=cat: A,F;source: ;
carrasquear=cat: VI;source: ;
carrasqueño, ña=cat: A;source: ;
carrasquera=cat: F;source: ;
carrasquilla=cat: F;source: ;
carrasquizo=cat: M;source: ;
carraza=cat: F;source: ;
carrazo=cat: M;source: ;
carrear=cat: VT;source: ;
carredano, na=cat: A;source: ;
carrejo=cat: M;source: ;
carrendera=cat: F;source: ;
carrendilla=cat: LAdv;source: ;
carreña=cat: F;source: ;
carrera=cat: F,LAdv;source: ;
carrerear=cat: VI,VT;source: ;
carrerilla=cat: F,LAdv;source: ;
carrerista=cat: M;source: ;
carrero=cat: M;source: ;
carreta=cat: F;source: ;
carretada=cat: F,LAdv;source: ;
carretaje=cat: M;source: ;
carretal=cat: M;source: ;
carretanagua=cat: F;source: ;
carretear=cat: VI,VT,VP;source: ;
carrete=cat: M;source: ;
carretela=cat: F;source: ;
carretel=cat: M;source: ;
carreteo=cat: M;source: ;
carretera=cat: F;source: ;
carretería=cat: F;source: ;
carreteril=cat: A;source: ;
carretero=cat: M;source: ;
carretil=cat: A;source: ;
carretilla=cat: F,LAdv;source: ;
carretillada=cat: F;source: ;
carretillero=cat: M;source: ;
carretillo=cat: M;source: ;
carreto=cat: M;source: ;
carretonada=cat: F;source: ;
carretoncillo=cat: M;source: ;
carretonero=cat: A,M;source: ;
carricar=cat: VT;source: ;
carric=cat: M;source: ;
carricera=cat: F;source: ;
carricerín=cat: M;source: ;
carricero=cat: M;source: ;
carricillo=cat: M;source: ;
carricoche=cat: M;source: ;
carricuba=cat: F;source: ;
carriego=cat: M;source: ;
carriel=cat: M;source: ;
carrilada=cat: F;source: ;
carrilano=cat: M;source: ;
carril=cat: M;source: ;
carrilearse=cat: VP;source: ;
carrilera=cat: A,F;source: ;
carrilero, ra=cat: A;source: ;
carrilete=cat: M;source: ;
carrillada=cat: F;source: ;
carrillera=cat: F;source: ;
carrillo=cat: M;source: ;
carrillón=cat: M;source: ;
carrilludo, da=cat: A;source: ;
carrindanga=cat: F;source: ;
carriño=cat: M;source: ;
carriola=cat: F;source: ;
carriona=cat: A;source: ;
carrique=cat: M;source: ;
carriquí=cat: M;source: ;
carriza=cat: F;source: ;
carrizada=cat: F;source: ;
carrizal=cat: M;source: ;
carrizo=cat: M;source: ;
carrocería=cat: F;source: ;
carrocero=cat: A,M;source: ;
carrocha=cat: F;source: ;
carrochar=cat: VI;source: ;
carrocín=cat: M;source: ;
carromatero=cat: M;source: ;
carromato=cat: M;source: ;
carronada=cat: F;source: ;
carrón=cat: M;source: ;
carroña=cat: A,F;source: ;
carroñar=cat: VT;source: ;
carroñero, ra=cat: A;source: ;
carroño, ña=cat: A;source: ;
carroñoso, sa=cat: A;source: ;
carrozable=cat: A;source: ;
carroza=cat: A,F;source: ;
carrozar=cat: VT;source: ;
carruaje=cat: M;source: ;
carruajero=cat: M;source: ;
carruata=cat: F;source: ;
carrubio, bia=cat: A;source: ;
carruca=cat: F;source: ;
carrucar=cat: VI;source: ;
carrucha=cat: F;source: ;
carruchera=cat: F;source: ;
carruco=cat: M;source: ;
carrujado, da=cat: A,M;source: ;
carrujo=cat: M;source: ;
carruna=cat: F;source: ;
carrusel=cat: M;source: ;
cárstico, ca=cat: A;source: ;
cartabón=cat: M;source: ;
carta=cat: F,LAdv,LAdj;source: ;
cartagenero, ra=cat: A;source: ;
cartaginense=cat: A;source: ;
cartaginés, sa=cat: A;source: ;
cartaginiense=cat: A;source: ;
cártama=cat: F;source: ;
cártamo=cat: M;source: ;
cartapacio=cat: M;source: ;
cartapel=cat: M;source: ;
cartazo=cat: M;source: ;
carteado=cat: M;source: ;
cartear=cat: VI,VP;source: ;
cartel2 o cártel=cat: M;source: ;
cartela=cat: F;source: ;
cartelado, da=cat: A;source: ;
cartelear=cat: VT;source: ;
cartelero, ra=cat: A,M,F;source: ;
cartelista=cat: ;source: ;
carteo=cat: M;source: ;
cárter=cat: M;source: ;
carterear=cat: VT;source: ;
cartería=cat: F;source: ;
carterista=cat: ;source: ;
carterita=cat: F;source: ;
cartero, ra=cat: MF,F;source: ;
cartesianismo=cat: M;source: ;
cartesiano, na=cat: A;source: ;
carteta=cat: F;source: ;
cartiero=cat: M;source: ;
cartilágine=cat: M;source: ;
cartilagíneo, a=cat: A;source: ;
cartilaginoso, sa=cat: A;source: ;
cartílago=cat: M;source: ;
cartilla=cat: F;source: ;
cartivana=cat: F;source: ;
cartografía=cat: F;source: ;
cartografiar=cat: VT;source: ;
cartográfico, ca=cat: A;source: ;
cartógrafo, fa=cat: MF;source: ;
cartolas=cat: F;source: ;
cartomancia o cartomancía=cat: F;source: ;
cartomántico, ca=cat: A;source: ;
cartometría=cat: F;source: ;
cartométrico, ca=cat: A;source: ;
cartómetro=cat: M;source: ;
cartonaje=cat: M;source: ;
cartón=cat: M;source: ;
cartoné=cat: M;source: ;
cartonería=cat: F;source: ;
cartonero, ra=cat: A,MF,F;source: ;
cartonista=cat: ;source: ;
cartuchera=cat: F;source: ;
cartucho=cat: M;source: ;
cartuchón, na=cat: A;source: ;
cartuja=cat: F;source: ;
cartujano, na=cat: A;source: ;
cartujo=cat: A,M;source: ;
cartulario=cat: M;source: ;
cartulina=cat: F;source: ;
cartusana=cat: F;source: ;
caruata=cat: F;source: ;
caruja=cat: F;source: ;
carúncula=cat: F;source: ;
carunculado, da=cat: A;source: ;
caruncular=cat: A;source: ;
carupanero, ra=cat: A;source: ;
carurú=cat: M;source: ;
caruto=cat: M;source: ;
carvajal=cat: M;source: ;
carvajo=cat: M;source: ;
carvallar=cat: M;source: ;
carvalleda=cat: F;source: ;
carvalledo=cat: M;source: ;
carvallo=cat: M;source: ;
carvayo=cat: M;source: ;
carvi=cat: M;source: ;
casabe=cat: M;source: ;
casaca=cat: F;source: ;
casa=cat: F,LAdv,LAdj;source: ;
casación=cat: F;source: ;
casadero, ra=cat: A;source: ;
casado, da=cat: A,M;source: ;
casal=cat: M;source: ;
casalero, ra=cat: MF;source: ;
casalicio=cat: M;source: ;
casamata=cat: F;source: ;
casamentero, ra=cat: A;source: ;
casamiento=cat: M;source: ;
casampulga=cat: F;source: ;
casamuro=cat: M;source: ;
casanarense=cat: A;source: ;
casanareño, ña=cat: A;source: ;
casanova=cat: M;source: ;
casapuerta=cat: F;source: ;
casaquilla=cat: F;source: ;
casaquín=cat: M;source: ;
casariego, ga=cat: A;source: ;
casarón=cat: M;source: ;
casateniente=cat: M;source: ;
casatienda=cat: F;source: ;
cascabela=cat: F;source: ;
cascabelada=cat: F;source: ;
cascabel=cat: M,LAdj;source: ;
cascabelear=cat: VI,VT;source: ;
cascabeleo=cat: M;source: ;
cascabelero, ra=cat: A,M;source: ;
cascabelillo=cat: M;source: ;
cascabillo=cat: M;source: ;
cascabullo=cat: M;source: ;
casca=cat: F;source: ;
cascaciruelas=cat: ;source: ;
cascada=cat: A,F;source: ;
cascado, da=cat: A;source: ;
cascadura=cat: F;source: ;
cascajal=cat: M;source: ;
cascajar=cat: M;source: ;
cascajera=cat: F;source: ;
cascajo=cat: M;source: ;
cascajoso, sa=cat: A;source: ;
cascajuelo, la=cat: A;source: ;
cascalbo=cat: ;source: ;
cascalleja=cat: F;source: ;
cascalote=cat: M;source: ;
cascamajar=cat: VT;source: ;
cascamiento=cat: M;source: ;
cascanueces=cat: M;source: ;
cascapiñones=cat: M;source: ;
cáscara=cat: F,I;source: ;
cascar=cat: VI,VT;source: ;
cascarela=cat: F;source: ;
cascarilla=cat: F;source: ;
cascarillal=cat: M;source: ;
cascarillero, ra=cat: MF,M;source: ;
cascarillina=cat: F;source: ;
cascarillo=cat: M;source: ;
cascarita=cat: F;source: ;
cascarón=cat: M;source: ;
cascarrabias=cat: ;source: ;
cascarria=cat: F;source: ;
cascarrina=cat: F;source: ;
cascarrinada=cat: F;source: ;
cascarrinar=cat: VI;source: ;
cascarrioso, sa=cat: A;source: ;
cascarrojas=cat: M;source: ;
cascarrón, na=cat: A;source: ;
cascarudo, da=cat: A;source: ;
cascaruja=cat: F;source: ;
cascaruleta=cat: F;source: ;
cascás=cat: M;source: ;
cas=cat: M;source: ;
cascatreguas=cat: M;source: ;
casco=cat: M,LAdj;source: ;
cascol=cat: M;source: ;
cascolitro=cat: M;source: ;
cascorvo, va=cat: A,M;source: ;
cascote=cat: M;source: ;
cascudo, da=cat: A;source: ;
cascué=cat: M;source: ;
caseación=cat: F;source: ;
caseico, ca=cat: A;source: ;
caseificación=cat: F;source: ;
caseificar=cat: VT;source: ;
caseína=cat: F;source: ;
cáseo, a=cat: A,M;source: ;
caseoso, sa=cat: A;source: ;
caseramente=cat: R;source: ;
casería=cat: F;source: ;
caserillo=cat: M;source: ;
caserío=cat: M;source: ;
caserna=cat: F;source: ;
caserón=cat: M;source: ;
casero, ra=cat: A,MF,M,F;source: ;
caseta=cat: F;source: ;
casetera=cat: F;source: ;
casetero=cat: M;source: ;
caseto=cat: M;source: ;
casetón=cat: M;source: ;
casia=cat: F;source: ;
casi=cat: R;source: ;
casida=cat: F;source: ;
casidulina=cat: F;source: ;
casilla=cat: F;source: ;
casiller=cat: M;source: ;
casillero=cat: M;source: ;
casimba=cat: F;source: ;
casimira=cat: F;source: ;
casimir=cat: M;source: ;
casimpulga=cat: F;source: ;
casina=cat: F;source: ;
casineta=cat: F;source: ;
casinete=cat: M;source: ;
casinita=cat: F;source: ;
casino=cat: M;source: ;
Casio=cat: ;source: ;
casiopiri=cat: M;source: ;
casis=cat: M,F;source: ;
casiterita=cat: F;source: ;
casmeño, ña=cat: A;source: ;
casmodia=cat: F;source: ;
caso=cat: M,LAdv;source: ;
casona=cat: F;source: ;
casón=cat: M;source: ;
casorio=cat: M;source: ;
caspa=cat: F;source: ;
caspera=cat: F;source: ;
caspia=cat: A,F;source: ;
caspicias=cat: F;source: ;
caspiento, ta=cat: A;source: ;
caspio, pia=cat: A;source: ;
caspiroleta=cat: F;source: ;
cáspita=cat: I;source: ;
caspolino, na=cat: A;source: ;
casposo, sa=cat: A;source: ;
casquería=cat: F;source: ;
casquero, ra=cat: MF,M;source: ;
casquetada=cat: F;source: ;
casquetazo=cat: M;source: ;
casquete=cat: M,LAdv;source: ;
casquiacopado, da=cat: A;source: ;
casquiblando, da=cat: A;source: ;
casquiderramado, da=cat: A;source: ;
casquijo=cat: M;source: ;
casquilla=cat: F;source: ;
casquillo=cat: M;source: ;
casquilucio, cia=cat: A;source: ;
casquimuleño, ña=cat: A;source: ;
casquite=cat: A;source: ;
casquivano, na=cat: A,F;source: ;
casta=cat: A,F;source: ;
castálidas=cat: F;source: ;
castalio, lia=cat: A;source: ;
castaña=cat: A,M,F;source: ;
castañal=cat: M;source: ;
castañar=cat: M;source: ;
castañazo=cat: M;source: ;
castañear=cat: VI;source: ;
castañedo=cat: M;source: ;
castañero, ra=cat: MF,M;source: ;
castañeta=cat: F;source: ;
castañetada=cat: F;source: ;
castañetazo=cat: M;source: ;
castañeteado=cat: M;source: ;
castañetear=cat: VI,VT;source: ;
castañete=cat: ;source: ;
castañeteo=cat: M;source: ;
castañola=cat: F;source: ;
castaño, ña=cat: A,M;source: ;
castañuela=cat: A,F;source: ;
castañuelo, la=cat: A;source: ;
castel=cat: M;source: ;
castellanamente=cat: R;source: ;
castellanía=cat: F;source: ;
castellanidad=cat: F;source: ;
castellanismo=cat: M;source: ;
castellanista=cat: ;source: ;
castellanización=cat: F;source: ;
castellanizar=cat: VT,VP;source: ;
castellanohablante=cat: A;source: ;
castellano, na=cat: A,M,F;source: ;
castellanoparlante=cat: A;source: ;
castellar=cat: M;source: ;
castellero=cat: M;source: ;
castellonense=cat: A;source: ;
casticidad=cat: F;source: ;
casticismo=cat: M;source: ;
casticista=cat: ;source: ;
castidad=cat: F;source: ;
castigación=cat: F;source: ;
castigadamente=cat: R;source: ;
castigadera=cat: F;source: ;
castigador, ra=cat: A;source: ;
castigar=cat: VT,VP;source: ;
castigo=cat: M;source: ;
castilla=cat: F;source: ;
castillado, da=cat: A;source: ;
castillaje=cat: M;source: ;
castillejo=cat: M;source: ;
castillería=cat: F;source: ;
castillero=cat: M;source: ;
castillete=cat: M;source: ;
castillo=cat: M;source: ;
castimonia=cat: F;source: ;
castina=cat: F;source: ;
casting=cat: M;source: ;
castizamente=cat: R;source: ;
castizo, za=cat: A;source: ;
castora=cat: F;source: ;
castor=cat: M;source: ;
castorcillo=cat: M;source: ;
castoreño=cat: M;source: ;
castóreo=cat: M;source: ;
castorina=cat: F;source: ;
castorio=cat: M;source: ;
Cástor y Pólux=cat: M;source: ;
casto, ta=cat: A;source: ;
castra=cat: F;source: ;
castración=cat: F;source: ;
castradera=cat: F;source: ;
castrado, da=cat: A;source: ;
castrador=cat: M;source: ;
castradura=cat: F;source: ;
castrametación=cat: F;source: ;
castrapuercas o castrapuercos=cat: M;source: ;
castrar=cat: VT;source: ;
castrato=cat: M;source: ;
castrazón=cat: F;source: ;
castrense=cat: A;source: ;
castreño, ña=cat: A;source: ;
castrino, na=cat: A;source: ;
castrismo=cat: M;source: ;
castrista=cat: A;source: ;
castrón=cat: M;source: ;
castuga=cat: F;source: ;
cástula=cat: F;source: ;
castúo, a=cat: A,M;source: ;
casualidad=cat: F;source: ;
casualismo=cat: M;source: ;
casualista=cat: ;source: ;
casualmente=cat: R;source: ;
casuárido, da=cat: A;source: ;
casuariforme=cat: A,F;source: ;
casuarina=cat: F;source: ;
casuarináceo, a=cat: A,F;source: ;
casuario=cat: M;source: ;
casuca=cat: F;source: ;
casucha=cat: F;source: ;
casucho=cat: M;source: ;
casuismo=cat: M;source: ;
casuista=cat: A;source: ;
casuístico, ca=cat: A,F;source: ;
casulla=cat: F;source: ;
casullero=cat: M;source: ;
casus belli=cat: M;source: ;
catabejas=cat: M;source: ;
catabólico, ca=cat: A;source: ;
catabolismo=cat: M;source: ;
catabre o catabro=cat: M;source: ;
catacaldos=cat: ;source: ;
catachín=cat: M;source: ;
cataclismo=cat: M;source: ;
catacresis=cat: F;source: ;
catacumbas=cat: F;source: ;
catadióptrico, ca=cat: A,M;source: ;
catador=cat: M;source: ;
catádromo, ma=cat: A;source: ;
catadura=cat: F;source: ;
catafalco=cat: M;source: ;
catáfora=cat: F;source: ;
catafórico, ca=cat: A;source: ;
catalanidad=cat: F;source: ;
catalanismo=cat: M;source: ;
catalanista=cat: A;source: ;
catalanización=cat: F;source: ;
catalanizar=cat: VT;source: ;
catalán, na=cat: A,M;source: ;
catalanohablante=cat: A;source: ;
catalanoparlante=cat: A;source: ;
cataláunico, ca=cat: A;source: ;
cataldo=cat: M;source: ;
cataléctico=cat: M;source: ;
catalejo=cat: M;source: ;
catalepsia=cat: F;source: ;
cataléptico, ca=cat: A;source: ;
catalicón=cat: M;source: ;
catalicores=cat: M;source: ;
catalineta=cat: F;source: ;
catálisis=cat: F;source: ;
catalítico, ca=cat: A;source: ;
catalizador=cat: M;source: ;
catalizar=cat: VT;source: ;
catalnica=cat: F;source: ;
catalogación=cat: F;source: ;
catalogador, ra=cat: A,MF;source: ;
catalogar=cat: VT;source: ;
catálogo=cat: M;source: ;
catalpa=cat: F;source: ;
cataluja=cat: F;source: ;
catamarán=cat: M;source: ;
catamarqueño, ña=cat: A;source: ;
catamenial=cat: A;source: ;
catamiento=cat: M;source: ;
catán=cat: M;source: ;
catanga=cat: F;source: ;
cataplasma=cat: F;source: ;
cataplexia=cat: F;source: ;
cataplum=cat: ;source: ;
catapulta=cat: F;source: ;
catapultar=cat: VT;source: ;
catapum o catapún=cat: ;source: ;
cataraña=cat: F;source: ;
catarata=cat: F;source: ;
catar=cat: VI,VT;source: ;
catarí=cat: A;source: ;
catarinita=cat: F;source: ;
cátaro, ra=cat: A;source: ;
catarral=cat: A;source: ;
catarribera=cat: M;source: ;
catarriento, ta=cat: A;source: ;
catarrino=cat: A,M;source: ;
catarro=cat: M;source: ;
catarroso, sa=cat: A;source: ;
catarrufín=cat: M;source: ;
catarsis=cat: F;source: ;
catártico, ca=cat: A;source: ;
catartiforme=cat: A,F;source: ;
catasalsas=cat: ;source: ;
catascán, na=cat: A;source: ;
catascopio=cat: M;source: ;
catasta=cat: F;source: ;
catástasis=cat: F;source: ;
catastral=cat: A;source: ;
catastro=cat: M;source: ;
catástrofe=cat: F;source: ;
catastrófico, ca=cat: A;source: ;
catastrofismo=cat: M;source: ;
catastrofista=cat: A;source: ;
catatar=cat: VT;source: ;
catatipia=cat: F;source: ;
catatonia=cat: F;source: ;
catatónico, ca=cat: A;source: ;
catatumba=cat: F;source: ;
cataubas=cat: M;source: ;
catauro=cat: M;source: ;
cataviento=cat: M;source: ;
catavino=cat: M;source: ;
catavinos=cat: M;source: ;
cateada=cat: F;source: ;
cateador=cat: M;source: ;
cate=cat: M;source: ;
catecismo=cat: M;source: ;
catecolamina=cat: F;source: ;
catecú=cat: M;source: ;
catecumenado=cat: M;source: ;
catecumenia=cat: F;source: ;
catecúmeno, na=cat: MF;source: ;
cátedra=cat: F;source: ;
catedral=cat: F;source: ;
catedralicio, cia=cat: A;source: ;
catedralidad=cat: F;source: ;
catedrar=cat: VI;source: ;
catedrático, ca=cat: MF,M,F;source: ;
catedrilla=cat: F;source: ;
cátedro=cat: M;source: ;
categorema=cat: M;source: ;
categoremático, ca=cat: A;source: ;
categoría=cat: F,LAdj;source: ;
categóricamente=cat: R;source: ;
categórico, ca=cat: A;source: ;
categorismo=cat: M;source: ;
categorización=cat: F;source: ;
categorizar=cat: VT;source: ;
catela=cat: F;source: ;
catenario, ria=cat: A,F;source: ;
catenular=cat: A;source: ;
cateo=cat: M;source: ;
catequesis=cat: F;source: ;
catequético, ca=cat: A;source: ;
catequismo=cat: M;source: ;
catequista=cat: ;source: ;
catequístico, ca=cat: A;source: ;
catequización=cat: F;source: ;
catequizador, ra=cat: MF;source: ;
catequizar=cat: VT;source: ;
catera=cat: F;source: ;
cateramba=cat: F;source: ;
catéresis=cat: F;source: ;
caterético, ca=cat: A,M,F;source: ;
catering=cat: M;source: ;
caterva=cat: F;source: ;
catervarios=cat: M;source: ;
catetear=cat: VI;source: ;
catete=cat: A;source: ;
cateteo=cat: M;source: ;
catéter=cat: M;source: ;
cateterismo=cat: M;source: ;
catetómetro=cat: M;source: ;
cateya=cat: F;source: ;
catey=cat: M;source: ;
catibía=cat: F;source: ;
catibo=cat: M;source: ;
catifa=cat: F;source: ;
catiguá=cat: M;source: ;
catilinaria=cat: A,F;source: ;
catimbao=cat: M;source: ;
catimía=cat: F;source: ;
catín=cat: M;source: ;
catinga=cat: F;source: ;
catingoso, sa=cat: A;source: ;
catingudo, da=cat: A;source: ;
catino=cat: M;source: ;
catión=cat: M;source: ;
catire, ra=cat: A;source: ;
catirrino=cat: A;source: ;
catita=cat: F;source: ;
catite=cat: M;source: ;
cativar=cat: VT;source: ;
cativí=cat: F;source: ;
cativo1, va=cat: A,MF,M;source: ;
catizumbada=cat: F;source: ;
catizumbazo=cat: M;source: ;
catleya=cat: F;source: ;
catódico, ca=cat: A;source: ;
cátodo=cat: M;source: ;
catodonte=cat: M;source: ;
católicamente=cat: R;source: ;
catolicidad=cat: F;source: ;
catolicismo=cat: M;source: ;
católico, ca=cat: A;source: ;
catolicón=cat: M;source: ;
catolizar=cat: VT;source: ;
catoniano, na=cat: A;source: ;
catonismo=cat: M;source: ;
catonizar=cat: VI;source: ;
catóptrico, ca=cat: A,F;source: ;
catoptromancia o catoptromancía=cat: F;source: ;
catoptroscopia=cat: F;source: ;
catoquita=cat: F;source: ;
catorceavo, va=cat: A;source: ;
catorce=cat: A,M;source: ;
catorceno, na=cat: A,F;source: ;
catorrazo=cat: M;source: ;
catorzal=cat: A;source: ;
catorzavo, va=cat: A;source: ;
catracho, cha=cat: A,M;source: ;
catre=cat: M;source: ;
catrecillo=cat: M;source: ;
catricofre=cat: M;source: ;
catrín, na=cat: A;source: ;
caturra=cat: F;source: ;
cauba=cat: F;source: ;
cauca=cat: M,F;source: ;
caucano, na=cat: A;source: ;
caucáseo, a=cat: A;source: ;
caucasiano, na=cat: A;source: ;
caucásico, ca=cat: A;source: ;
caucáu=cat: M;source: ;
cauce=cat: M;source: ;
caucel=cat: M;source: ;
caucense=cat: A;source: ;
caucha=cat: F;source: ;
cauchal=cat: M;source: ;
cauchar=cat: VT;source: ;
caucháu=cat: M;source: ;
cauchero, ra=cat: A,M,F;source: ;
cauchicultor, ra=cat: MF;source: ;
cauchil=cat: M;source: ;
caucho=cat: M;source: ;
cauchotina=cat: F;source: ;
caucionado, da=cat: A;source: ;
caucionar=cat: VT;source: ;
caución=cat: F;source: ;
caucionero=cat: M;source: ;
caucos=cat: M;source: ;
cauda=cat: F;source: ;
caudado, da=cat: A;source: ;
caudalosamente=cat: R;source: ;
caudaloso, sa=cat: A;source: ;
caudatario=cat: M;source: ;
caudato, ta=cat: A;source: ;
caudatrémula=cat: F;source: ;
caudillaje=cat: M;source: ;
caudillismo=cat: M;source: ;
caudillo=cat: M;source: ;
caudimano o caudímano=cat: A;source: ;
caudino, na=cat: A;source: ;
caudón=cat: M;source: ;
caujazo=cat: M;source: ;
cauje=cat: M;source: ;
caula=cat: F;source: ;
caulescente=cat: A;source: ;
caulícolo=cat: M;source: ;
caulículo=cat: M;source: ;
caulífero, ra=cat: A;source: ;
cauliforme=cat: A;source: ;
caulinar=cat: A;source: ;
caulote=cat: M;source: ;
cauno=cat: M;source: ;
cauque=cat: M;source: ;
cauquén=cat: M;source: ;
cauquenino, na=cat: A;source: ;
cauri=cat: M;source: ;
cauriense=cat: A;source: ;
cauro=cat: M;source: ;
causador, ra=cat: A;source: ;
causahabiente=cat: ;source: ;
causal=cat: A,F;source: ;
causalidad=cat: F;source: ;
causante=cat: A,M;source: ;
causar=cat: VT;source: ;
causativo, va=cat: A;source: ;
causear=cat: VT;source: ;
causeta=cat: F;source: ;
causídico, ca=cat: MF,F;source: ;
causón=cat: M;source: ;
cáusticamente=cat: R;source: ;
causticar=cat: VT;source: ;
causticidad=cat: F;source: ;
cáustico, ca=cat: A,M,F;source: ;
cautela=cat: F;source: ;
cauteloso, sa=cat: A;source: ;
cauterio=cat: M;source: ;
cauterización=cat: F;source: ;
cauterizador, ra=cat: A;source: ;
cauterizar=cat: VT;source: ;
cautín=cat: M;source: ;
cautivador, ra=cat: A;source: ;
cautivar=cat: VI,VT;source: ;
cautiverio=cat: M;source: ;
cautividad=cat: F;source: ;
cautivo, va=cat: A;source: ;
cauto, ta=cat: A;source: ;
cauza=cat: F;source: ;
cauz=cat: M;source: ;
cavacote=cat: M;source: ;
cavada=cat: A,F;source: ;
cavadizo, za=cat: A;source: ;
cavado, da=cat: A;source: ;
cavador=cat: M;source: ;
cavadura=cat: F;source: ;
cavalillo=cat: M;source: ;
caván=cat: M;source: ;
cavanillero, ra=cat: MF;source: ;
cavar=cat: VI,VT;source: ;
cavaria=cat: F;source: ;
cavaril=cat: M;source: ;
cavaros=cat: M;source: ;
cavatina=cat: F;source: ;
cavazón=cat: F;source: ;
cávea=cat: F;source: ;
cavedio=cat: M;source: ;
caverna=cat: F;source: ;
cavernario, ria=cat: A;source: ;
cavernícola=cat: A;source: ;
cavernidad=cat: F;source: ;
cavernosidad=cat: F;source: ;
cavernoso, sa=cat: A;source: ;
cavero=cat: M;source: ;
caveto=cat: M;source: ;
cavial=cat: M;source: ;
caviar=cat: M;source: ;
caví=cat: M;source: ;
cavicornio=cat: A;source: ;
cavidad=cat: F;source: ;
cavilación=cat: F;source: ;
cavilar=cat: VT;source: ;
cavilo=cat: M;source: ;
cavilosamente=cat: R;source: ;
cavilosidad=cat: F;source: ;
caviloso, sa=cat: A;source: ;
cavío=cat: M;source: ;
cavitación=cat: F;source: ;
cavón=cat: M;source: ;
cayá=cat: M;source: ;
cayada=cat: F;source: ;
cayadilla=cat: F;source: ;
cayado=cat: M;source: ;
cayagual o cayahual=cat: M;source: ;
cayajabo=cat: M;source: ;
cayama=cat: F;source: ;
cayana=cat: F;source: ;
cayán=cat: M;source: ;
cayanco=cat: M;source: ;
cayapa=cat: A,M,F;source: ;
cayapear=cat: VI,VT;source: ;
cayapona=cat: F;source: ;
cayapós=cat: M;source: ;
cayarí=cat: M;source: ;
cayaya=cat: F;source: ;
cay=cat: M;source: ;
cayena=cat: F;source: ;
cayente=cat: A;source: ;
cayeputi=cat: M;source: ;
cayería=cat: F;source: ;
cayetés=cat: M;source: ;
cayeyano, na=cat: A;source: ;
cayo=cat: M;source: ;
cayota=cat: F;source: ;
cayuela=cat: F;source: ;
cazabe=cat: M;source: ;
cazabombardero=cat: M;source: ;
cazaclavos=cat: M;source: ;
cazadero, ra=cat: A,M;source: ;
cazado, da=cat: A;source: ;
cazador, ra=cat: A,M,F;source: ;
cazadotes=cat: M;source: ;
cazalla=cat: F;source: ;
cazallero, ra=cat: A;source: ;
cazar=cat: VT;source: ;
cazarete=cat: M;source: ;
cazarra=cat: F;source: ;
cazarrica=cat: F;source: ;
cazarro=cat: M;source: ;
cazata=cat: F;source: ;
cazatalentos=cat: ;source: ;
cazatorpedero=cat: M;source: ;
cazcalear=cat: VI;source: ;
cazcarria=cat: F;source: ;
cazcarriento, ta=cat: A;source: ;
cazcarrioso, sa=cat: A;source: ;
caz=cat: M;source: ;
cazcorvo, va=cat: A;source: ;
cazo=cat: M;source: ;
cazolada=cat: F;source: ;
cazoleja=cat: F;source: ;
cazolero=cat: A;source: ;
cazoleta=cat: F;source: ;
cazoletear=cat: VI;source: ;
cazoletero=cat: A;source: ;
cazonal=cat: M;source: ;
cazonete=cat: M;source: ;
cazorría=cat: F;source: ;
cazudo, da=cat: A;source: ;
cazuela=cat: F;source: ;
cazumbrar=cat: VT;source: ;
cazumbre=cat: M;source: ;
cazumbrón=cat: M;source: ;
cazurrear=cat: VI;source: ;
cazurrería=cat: F;source: ;
cazurría=cat: F;source: ;
cazurro, rra=cat: A;source: ;
cazuz=cat: M;source: ;
c=cat: F;source: ;
CD=cat: M;source: ;
cea=cat: F;source: ;
ceaja=cat: F;source: ;
ceajo=cat: M;source: ;
ceanoto=cat: M;source: ;
cearina=cat: F;source: ;
ceática=cat: F;source: ;
ceba=cat: F;source: ;
cebada=cat: A,F;source: ;
cebadal=cat: M;source: ;
cebadar=cat: VT;source: ;
cebadazo, za=cat: A;source: ;
cebadería=cat: F;source: ;
cebadilla=cat: F;source: ;
cebado, da=cat: A;source: ;
cebador, ra=cat: A,MF,M;source: ;
cebadura=cat: F;source: ;
cebar=cat: VI,VT,VP;source: ;
cebellina=cat: ;source: ;
cebera=cat: F;source: ;
cebero=cat: M;source: ;
cebiche=cat: M;source: ;
cebil=cat: M;source: ;
cebipero=cat: M;source: ;
cebique=cat: M;source: ;
cebolla=cat: F;source: ;
cebollada=cat: F;source: ;
cebollana=cat: F;source: ;
cebollar=cat: M;source: ;
cebollento, ta=cat: A;source: ;
